participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_2FD2CE26,ant_and_grasshopper,male,10,grade_4,55.5,-7.981878878289828,-7.981878878289828,26.66666666666666,10,26.66666666666666,20,46.66666666666666,70,45,78
S1_563772BB,ant_and_grasshopper,male,14,grade_8,38,-4.510355037782602,-4.503004919706848,66.66666666666666,50,16.66666666666666,20,16.66666666666666,30,58.33333333333334,53
S1_EBEC01EA,last_leaf_maple_valley,female,15,grade_8,44,-5.890288333444447,-5.196417130759268,33.33333333333333,40,33.33333333333333,30,33.33333333333333,30,53.33333333333334,50
S1_34013080,ant_and_grasshopper,male,11,grade_4,71,-3.825825722222956,0.3465735900161546,6.66666666666666,15,26.66666666666666,25,66.66666666666666,60,50,50
S1_FEC83517,last_leaf_maple_valley,male,10,grade_4,52,-7.269602145714807,-7.981878878289828,16.66666666666666,25,33.33333333333333,50,50,25,6.666666666666667,7
S1_3BE91B55,last_leaf_maple_valley,male,14,grade_8,76.5,-1.73976461129377,-3.809592824009038,3.33333333333333,10,66.66666666666666,85,30,5,48,47.66666666666666
S1_61B12C50,last_leaf_maple_valley,female,15,grade_8,58,-7.981878878289828,-3.809592824009038,50,60,26.66666666666666,15,23.33333333333333,25,58.33333333333334,55
S1_56A7627F,last_leaf_maple_valley,male,11,grade_4,55.5,-7.981878878289828,-7.981878878289828,18.33333333333333,50,22,0,59.66666666666667,50,38.66666666666666,45.33333333333334
S1_075A015C,ant_and_grasshopper,female,10,grade_4,52,-7.981878878289828,-7.981878878289828,8.33333333333333,25,8.33333333333333,30,83.33333333333334,45,48.33333333333334,50
S1_4894983F,last_leaf_maple_valley,male,10,grade_4,52,-7.981878878289828,-7.981878878289828,16.66666666666666,20,20,50,63.33333333333333,30,80,63.33333333333334
S1_2D48FDFB,last_leaf_maple_valley,male,14,grade_8,11,-6.565166074925644,-5.196417130759268,33.33333333333333,18,16.66666666666666,25,50,56.99999999999999,63.33333333333334,49.66666666666666
S1_951BEA24,last_leaf_maple_valley,male,14,grade_8,54.09999999999999,-3.129529941626674,-4.503487716055282,66.66666666666666,70,33.33333333333333,30,0,0,28.66666666666667,49.33333333333334
S1_1E9ABDE3,last_leaf_maple_valley,female,14,grade_8,59,-1.722144763120333,-3.809592824009038,20,40,46.66666666666666,30,33.33333333333333,30,53.33333333333334,57.33333333333334
S1_EDDE377D,ant_and_grasshopper,female,14,grade_8,39,-5.192956770890214,-3.809592824009038,16.66666666666666,20,33.33333333333333,30,50,50,58.66666666666666,70
S1_F71AE083,last_leaf_maple_valley,male,14,grade_8,69.5,-5.525445094162555,-5.886103951450159,16.66666666666666,25,33.33333333333333,25,50,50,73.66666666666667,74.66666666666667
